Data,Valoare EUR (exprimată in lei)
02.09.2023,
03.09.2023,
04.09.2023,4.9465
05.09.2023,4.9491
06.09.2023,4.9615
07.09.2023,4.9632
08.09.2023,4.9643
09.09.2023,
10.09.2023,
11.09.2023,4.9660
12.09.2023,4.9690
13.09.2023,4.9697
14.09.2023,4.9695
15.09.2023,4.9690
16.09.2023,
17.09.2023,
18.09.2023,4.9679
19.09.2023,4.9691
20.09.2023,4.9711
21.09.2023,4.9707
22.09.2023,4.9675
23.09.2023,
24.09.2023,
25.09.2023,4.9677
26.09.2023,4.9696
27.09.2023,4.9743
28.09.2023,4.9749
29.09.2023,4.9746
30.09.2023,
01.10.2023,
02.10.2023,4.9744
03.10.2023,4.9745
04.10.2023,4.9752
05.10.2023,4.9700
06.10.2023,4.9631
07.10.2023,
08.10.2023,
09.10.2023,4.9682
10.10.2023,4.9656
11.10.2023,4.9658
12.10.2023,4.9627
13.10.2023,4.9645
14.10.2023,
15.10.2023,
16.10.2023,4.9654
17.10.2023,4.9676
18.10.2023,4.9705
19.10.2023,4.9720
20.10.2023,4.9734
21.10.2023,
22.10.2023,
23.10.2023,4.9724
24.10.2023,4.9678
25.10.2023,4.9628
26.10.2023,4.9643
27.10.2023,4.9681
28.10.2023,
29.10.2023,
30.10.2023,4.9647
31.10.2023,4.9669
01.11.2023,4.9685
02.11.2023,4.9693
03.11.2023,4.9701
04.11.2023,
05.11.2023,
06.11.2023,4.9695
07.11.2023,4.9696
08.11.2023,4.9674
09.11.2023,4.9673
10.11.2023,4.9692
11.11.2023,
12.11.2023,
13.11.2023,4.9703
14.11.2023,4.9723
15.11.2023,4.9701
16.11.2023,4.9704
17.11.2023,4.9711
18.11.2023,
19.11.2023,
20.11.2023,4.9709
21.11.2023,4.9706
22.11.2023,4.9707
23.11.2023,4.9710
24.11.2023,4.9703
25.11.2023,
26.11.2023,
27.11.2023,4.9702
28.11.2023,4.9725
29.11.2023,4.9726
30.11.2023,
01.12.2023,
02.12.2023,
03.12.2023,
04.12.2023,4.9678
05.12.2023,4.9672
06.12.2023,4.9681
07.12.2023,4.9679
08.12.2023,4.9677
09.12.2023,
10.12.2023,
11.12.2023,4.9708
12.12.2023,4.9724
13.12.2023,4.9740
14.12.2023,4.9720
15.12.2023,4.9709
16.12.2023,
17.12.2023,
18.12.2023,4.9676
19.12.2023,4.9704
20.12.2023,4.9702
21.12.2023,4.9692
22.12.2023,4.9695
23.12.2023,
24.12.2023,
25.12.2023,
26.12.2023,
27.12.2023,4.9720
28.12.2023,4.9753
29.12.2023,4.9746
30.12.2023,
31.12.2023,
01.01.2024,
02.01.2024,
03.01.2024,4.9731
04.01.2024,4.9730
05.01.2024,4.9744
06.01.2024,
07.01.2024,
08.01.2024,4.9720
09.01.2024,4.9715
10.01.2024,4.9724
11.01.2024,4.9723
12.01.2024,4.9731
13.01.2024,
14.01.2024,
15.01.2024,4.9736
16.01.2024,4.9761
17.01.2024,4.9752
18.01.2024,4.9765
19.01.2024,4.9769
20.01.2024,
21.01.2024,
22.01.2024,4.9768
23.01.2024,4.9767
24.01.2024,
25.01.2024,4.9765
26.01.2024,4.9763
27.01.2024,
28.01.2024,
29.01.2024,4.9770
30.01.2024,4.9769
31.01.2024,4.9759
01.02.2024,4.9747
02.02.2024,4.9728
03.02.2024,
04.02.2024,
05.02.2024,4.9736
06.02.2024,4.9760
07.02.2024,4.9769
08.02.2024,4.9764
09.02.2024,4.9770
10.02.2024,
11.02.2024,
12.02.2024,4.9753
13.02.2024,4.9761
14.02.2024,4.9760
15.02.2024,4.9767
16.02.2024,4.9770
17.02.2024,
18.02.2024,
19.02.2024,4.9773
20.02.2024,4.9771
21.02.2024,4.9759
22.02.2024,4.9769
23.02.2024,4.9753
24.02.2024,
25.02.2024,
26.02.2024,4.9731
27.02.2024,4.9686
28.02.2024,4.9700
29.02.2024,4.9690
01.03.2024,4.9699
02.03.2024,
03.03.2024,
04.03.2024,4.9698
05.03.2024,4.9719
06.03.2024,4.9718
07.03.2024,4.9707
08.03.2024,4.9691
09.03.2024,
10.03.2024,
11.03.2024,4.9671
12.03.2024,4.9665
13.03.2024,4.9675
14.03.2024,4.9712
15.03.2024,4.9707
16.03.2024,
17.03.2024,
18.03.2024,4.9715
19.03.2024,4.9741
20.03.2024,4.9739
21.03.2024,4.9740
22.03.2024,4.9727
23.03.2024,
24.03.2024,
25.03.2024,4.9711
26.03.2024,4.9712
27.03.2024,4.9710
28.03.2024,4.9730
29.03.2024,4.9695
30.03.2024,
31.03.2024,
01.04.2024,4.9700
02.04.2024,4.9705
03.04.2024,4.9689
04.04.2024,4.9708
05.04.2024,4.9681
06.04.2024,
07.04.2024,
08.04.2024,4.9678
09.04.2024,4.9682
10.04.2024,4.9692
11.04.2024,4.9703
12.04.2024,4.9714
13.04.2024,
14.04.2024,
15.04.2024,4.9737
16.04.2024,4.9763
17.04.2024,4.9754
18.04.2024,4.9763
19.04.2024,4.9764
20.04.2024,
21.04.2024,
22.04.2024,4.9758
23.04.2024,4.9762
24.04.2024,4.9761
25.04.2024,4.9763
26.04.2024,4.9765
27.04.2024,
28.04.2024,
29.04.2024,4.9758
30.04.2024,4.9759
01.05.2024,
02.05.2024,4.9764
03.05.2024,
04.05.2024,
05.05.2024,
06.05.2024,
07.05.2024,4.9757
08.05.2024,4.9761
09.05.2024,4.9753
10.05.2024,4.9756
11.05.2024,
12.05.2024,
13.05.2024,4.9765
14.05.2024,4.9763
15.05.2024,4.9765
16.05.2024,4.9756
17.05.2024,4.9751
18.05.2024,
19.05.2024,
20.05.2024,4.9748
21.05.2024,4.9746
22.05.2024,4.9745
23.05.2024,4.9757
24.05.2024,4.9744
25.05.2024,
26.05.2024,
27.05.2024,4.9767
28.05.2024,4.9759
29.05.2024,4.9762
30.05.2024,4.9766
31.05.2024,4.9767
01.06.2024,
02.06.2024,
03.06.2024,4.9761
04.06.2024,4.9752
05.06.2024,4.9758
06.06.2024,4.9763
07.06.2024,4.9760
08.06.2024,
09.06.2024,
10.06.2024,4.9765
11.06.2024,4.9767
12.06.2024,4.9766
13.06.2024,4.9772
14.06.2024,4.9771
15.06.2024,
16.06.2024,
17.06.2024,4.9768
18.06.2024,4.9766
19.06.2024,4.9763
20.06.2024,4.9770
21.06.2024,4.9771
22.06.2024,
23.06.2024,
24.06.2024,
25.06.2024,4.9768
26.06.2024,4.9769
27.06.2024,4.9768
28.06.2024,4.9771
29.06.2024,
30.06.2024,
01.07.2024,4.9770
02.07.2024,4.9770
03.07.2024,4.9771
04.07.2024,4.9772
05.07.2024,4.9773
06.07.2024,
07.07.2024,
08.07.2024,4.9755
09.07.2024,4.9735
10.07.2024,4.9736
11.07.2024,4.9749
12.07.2024,4.9737
13.07.2024,
14.07.2024,
15.07.2024,4.9700
16.07.2024,4.9655
17.07.2024,4.9681
18.07.2024,4.9692
19.07.2024,4.9709
20.07.2024,
21.07.2024,
22.07.2024,4.9716
23.07.2024,4.9729
24.07.2024,4.9704
25.07.2024,4.9690
26.07.2024,4.9700
27.07.2024,
28.07.2024,
29.07.2024,4.9720
30.07.2024,4.9753
31.07.2024,4.9752
01.08.2024,4.9760
02.08.2024,4.9753
03.08.2024,
04.08.2024,
05.08.2024,4.9769
06.08.2024,4.9768
07.08.2024,4.9766
08.08.2024,4.9767
09.08.2024,4.9769
10.08.2024,
11.08.2024,
12.08.2024,4.9765
13.08.2024,4.9764
14.08.2024,4.9761
15.08.2024,
16.08.2024,4.9754
17.08.2024,
18.08.2024,
19.08.2024,4.9773
20.08.2024,4.9769
21.08.2024,4.9772
22.08.2024,4.9765
23.08.2024,4.9767
24.08.2024,
25.08.2024,
26.08.2024,4.9753
27.08.2024,4.9765
28.08.2024,4.9771
29.08.2024,4.9772
30.08.2024,4.9769
31.08.2024,
01.09.2024,
02.09.2024,4.9755
03.09.2024,4.9738
04.09.2024,4.9729
05.09.2024,4.9711
06.09.2024,4.9728
07.09.2024,
08.09.2024,
09.09.2024,4.9741
10.09.2024,4.9742
11.09.2024,4.9740
12.09.2024,4.9742
13.09.2024,4.9737
14.09.2024,
15.09.2024,
16.09.2024,4.9743
17.09.2024,4.9738
18.09.2024,4.9746
19.09.2024,4.9744
20.09.2024,4.9745
21.09.2024,
22.09.2024,
23.09.2024,4.9741
24.09.2024,4.9757
25.09.2024,4.9758
26.09.2024,4.9759
27.09.2024,4.9760
28.09.2024,
29.09.2024,
30.09.2024,4.9756
01.10.2024,4.9758
02.10.2024,4.9764
03.10.2024,4.9763
04.10.2024,4.9766
05.10.2024,
06.10.2024,
07.10.2024,4.9770
08.10.2024,4.9771
09.10.2024,4.9763
10.10.2024,4.9759
11.10.2024,4.9752
12.10.2024,
13.10.2024,
14.10.2024,4.9744
15.10.2024,4.9755
16.10.2024,4.9758
17.10.2024,4.9720
18.10.2024,4.9724
19.10.2024,
20.10.2024,
21.10.2024,4.9722
22.10.2024,4.9731
23.10.2024,4.9735
24.10.2024,4.9733
25.10.2024,4.9732
26.10.2024,
27.10.2024,
28.10.2024,4.9735
29.10.2024,4.9747
30.10.2024,4.9746
31.10.2024,4.9745
01.11.2024,4.9747
02.11.2024,
03.11.2024,
04.11.2024,4.9748
05.11.2024,4.9750
06.11.2024,4.9755
07.11.2024,4.9757
08.11.2024,4.9750
09.11.2024,
10.11.2024,
11.11.2024,4.9749
12.11.2024,4.9761
13.11.2024,4.9764
14.11.2024,4.9759
15.11.2024,4.9765
16.11.2024,
17.11.2024,
18.11.2024,4.9764
19.11.2024,4.9769
20.11.2024,4.9762
21.11.2024,4.9766
22.11.2024,4.9759
23.11.2024,
24.11.2024,
25.11.2024,4.9767
26.11.2024,4.9768
27.11.2024,4.9765
28.11.2024,4.9769
29.11.2024,4.9771
30.11.2024,
01.12.2024,
02.12.2024,4.9769
03.12.2024,4.9770
04.12.2024,4.9770
05.12.2024,4.9771
06.12.2024,4.9773
07.12.2024,
08.12.2024,
09.12.2024,4.9717
10.12.2024,4.9709
11.12.2024,4.9684
12.12.2024,4.9708
13.12.2024,4.9732
14.12.2024,
15.12.2024,
16.12.2024,4.9759
17.12.2024,4.9756
18.12.2024,4.9755
19.12.2024,4.9749
20.12.2024,4.9764
21.12.2024,
22.12.2024,
23.12.2024,4.9759
24.12.2024,4.9748
25.12.2024,
26.12.2024,
27.12.2024,4.9765
28.12.2024,
29.12.2024,
30.12.2024,4.9764
31.12.2024,4.9741
01.01.2025,
02.01.2025,
03.01.2025,4.9749
04.01.2025,
05.01.2025,
06.01.2025,
07.01.2025,
08.01.2025,4.9738
09.01.2025,4.9736
10.01.2025,4.9728
11.01.2025,
12.01.2025,
13.01.2025,4.9731
14.01.2025,4.9742
15.01.2025,4.9750
16.01.2025,4.9749
17.01.2025,4.9759
18.01.2025,
19.01.2025,
20.01.2025,4.9765
21.01.2025,4.9764
22.01.2025,4.9768
23.01.2025,4.9763
24.01.2025,
25.01.2025,
26.01.2025,
27.01.2025,4.9756
28.01.2025,4.9748
29.01.2025,4.9759
30.01.2025,4.9761
31.01.2025,4.9767
01.02.2025,
02.02.2025,
03.02.2025,4.9766
04.02.2025,4.9769
05.02.2025,4.9766
06.02.2025,4.9764
07.02.2025,4.9767
08.02.2025,
09.02.2025,
10.02.2025,4.9765
11.02.2025,4.9771
12.02.2025,4.9770
13.02.2025,4.9773
14.02.2025,4.9771
15.02.2025,
16.02.2025,
17.02.2025,4.9770
18.02.2025,4.9771
19.02.2025,4.9772
20.02.2025,4.9773
21.02.2025,4.9773
22.02.2025,
23.02.2025,
24.02.2025,4.9770
25.02.2025,4.9773
26.02.2025,4.9774
27.02.2025,4.9773
28.02.2025,4.9765
01.03.2025,
02.03.2025,
03.03.2025,4.9774
04.03.2025,4.9769
05.03.2025,4.9770
06.03.2025,4.9760
07.03.2025,4.9756
08.03.2025,
09.03.2025,
10.03.2025,4.9766
11.03.2025,4.9772
12.03.2025,4.9771
13.03.2025,4.9770
14.03.2025,4.9768
15.03.2025,
16.03.2025,
17.03.2025,4.9773
18.03.2025,4.9774
19.03.2025,4.9769
20.03.2025,4.9768
21.03.2025,4.9770
22.03.2025,
23.03.2025,
24.03.2025,4.9766
25.03.2025,4.9754
26.03.2025,4.9761
27.03.2025,4.9772
28.03.2025,4.9773
29.03.2025,
30.03.2025,
31.03.2025,4.9771
01.04.2025,4.9770
02.04.2025,4.9774
03.04.2025,4.9772
04.04.2025,4.9770
05.04.2025,
06.04.2025,
07.04.2025,4.9774
08.04.2025,4.9772
09.04.2025,4.9775
10.04.2025,4.9772
11.04.2025,4.9774
12.04.2025,
13.04.2025,
14.04.2025,4.9775
15.04.2025,4.9774
16.04.2025,4.9775
17.04.2025,4.9773
18.04.2025,
19.04.2025,
20.04.2025,
21.04.2025,
22.04.2025,4.9774
23.04.2025,4.9775
24.04.2025,4.9772
25.04.2025,4.9774
26.04.2025,
27.04.2025,
28.04.2025,4.9775
29.04.2025,4.9774
30.04.2025,4.9775
01.05.2025,
02.05.2025,4.9773
03.05.2025,
04.05.2025,
05.05.2025,4.9775
06.05.2025,5.0378
07.05.2025,5.0991
08.05.2025,5.1222
09.05.2025,5.1165
10.05.2025,
11.05.2025,
12.05.2025,5.0993
13.05.2025,5.0991
14.05.2025,5.1036
15.05.2025,5.1032
16.05.2025,5.1033
17.05.2025,
18.05.2025,
19.05.2025,5.0315
20.05.2025,5.0848
21.05.2025,5.0730
22.05.2025,5.0564
23.05.2025,5.0550
24.05.2025,
25.05.2025,
26.05.2025,5.0612
27.05.2025,5.0625
28.05.2025,5.0553
29.05.2025,5.0667
30.05.2025,5.0639
31.05.2025,
01.06.2025,
02.06.2025,5.0572
03.06.2025,5.0587
04.06.2025,5.0558
05.06.2025,5.0537
06.06.2025,5.0422
07.06.2025,
08.06.2025,
09.06.2025,
10.06.2025,5.0366
11.06.2025,5.0251
12.06.2025,5.0291
13.06.2025,5.0320
14.06.2025,
15.06.2025,
16.06.2025,5.0290
17.06.2025,5.0263
18.06.2025,5.0325
19.06.2025,5.0317
20.06.2025,5.0472
21.06.2025,
22.06.2025,
23.06.2025,5.0453
24.06.2025,5.0522
25.06.2025,5.0538
26.06.2025,5.0717
27.06.2025,5.0780
28.06.2025,
29.06.2025,
30.06.2025,5.0777
01.07.2025,5.0772
02.07.2025,5.0665
03.07.2025,5.0603
04.07.2025,5.0600
05.07.2025,
06.07.2025,
07.07.2025,5.0645
08.07.2025,5.0677
09.07.2025,5.0759
10.07.2025,5.0774
11.07.2025,5.0810
12.07.2025,
13.07.2025,
14.07.2025,5.0795
15.07.2025,5.0798
16.07.2025,5.0722
17.07.2025,5.0724
18.07.2025,5.0736
19.07.2025,
20.07.2025,
21.07.2025,5.0703
22.07.2025,5.0705
23.07.2025,5.0693
24.07.2025,5.0692
25.07.2025,5.0708
26.07.2025,
27.07.2025,
28.07.2025,5.0704
29.07.2025,5.0751
30.07.2025,5.0770
31.07.2025,5.0764
01.08.2025,5.0770
02.08.2025,
03.08.2025,
04.08.2025,5.0742
05.08.2025,5.0749
06.08.2025,5.0747
07.08.2025,5.0736
08.08.2025,5.0711
09.08.2025,
10.08.2025,
11.08.2025,5.0676
12.08.2025,5.0683
13.08.2025,5.0633
14.08.2025,5.0628
15.08.2025,
16.08.2025,
17.08.2025,
18.08.2025,5.0588
19.08.2025,5.0573
20.08.2025,5.0611
21.08.2025,5.0578
22.08.2025,5.0545
23.08.2025,
24.08.2025,
25.08.2025,5.0539
26.08.2025,5.0552
27.08.2025,5.0629
28.08.2025,5.0672
29.08.2025,5.0722
30.08.2025,
31.08.2025,
01.09.2025,5.0725
02.09.2025,5.0781
03.09.2025,5.0779
04.09.2025,5.0772
05.09.2025,5.0787
06.09.2025,
07.09.2025,
08.09.2025,5.0716
09.09.2025,5.0737
10.09.2025,5.0733
11.09.2025,5.0707
12.09.2025,5.0694
13.09.2025,
14.09.2025,
15.09.2025,5.0632
16.09.2025,5.0634
17.09.2025,5.0670
18.09.2025,5.0695
19.09.2025,5.0719
20.09.2025,
21.09.2025,
22.09.2025,5.0753
23.09.2025,5.0774
24.09.2025,5.0784
25.09.2025,5.0754
26.09.2025,5.0772
27.09.2025,
28.09.2025,
29.09.2025,5.0783
30.09.2025,5.0811
01.10.2025,5.0820
02.10.2025,5.0837
03.10.2025,5.0889
04.10.2025,
05.10.2025,
06.10.2025,5.0886
07.10.2025,5.0916
08.10.2025,5.0963
09.10.2025,5.0953
10.10.2025,5.0927
11.10.2025,
12.10.2025,
13.10.2025,5.0903
14.10.2025,5.0879
15.10.2025,5.0885
16.10.2025,5.0884
17.10.2025,5.0889
18.10.2025,
19.10.2025,
20.10.2025,5.0890
21.10.2025,5.0832
22.10.2025,5.0831
23.10.2025,5.0823
24.10.2025,5.0835
25.10.2025,
26.10.2025,
27.10.2025,5.0848
28.10.2025,5.0844
29.10.2025,5.0829
30.10.2025,5.0856
31.10.2025,5.0851
01.11.2025,
02.11.2025,
03.11.2025,5.0861
04.11.2025,5.0865
05.11.2025,5.0851
06.11.2025,5.0845
07.11.2025,5.0860
08.11.2025,
09.11.2025,
10.11.2025,5.0854
11.11.2025,5.0845
12.11.2025,5.0846
13.11.2025,5.0839
14.11.2025,5.0847
15.11.2025,
16.11.2025,
17.11.2025,5.0844
18.11.2025,5.0859
19.11.2025,5.0889
20.11.2025,5.0889
21.11.2025,5.0891
22.11.2025,
23.11.2025,
24.11.2025,5.0871
25.11.2025,5.0890
26.11.2025,5.0903
27.11.2025,5.0901
28.11.2025,5.0906
29.11.2025,
30.11.2025,
01.12.2025,
02.12.2025,5.0893
03.12.2025,5.0910
04.12.2025,5.0920
05.12.2025,5.0919
06.12.2025,
07.12.2025,
08.12.2025,5.0899
09.12.2025,5.0897
10.12.2025,5.0894
11.12.2025,5.0898
12.12.2025,5.0904
13.12.2025,
14.12.2025,
15.12.2025,5.0914
16.12.2025,5.0920
17.12.2025,5.0923
18.12.2025,5.0911
19.12.2025,5.0896
20.12.2025,
21.12.2025,
22.12.2025,5.0881
23.12.2025,5.0908
24.12.2025,5.0890
25.12.2025,
26.12.2025,
27.12.2025,
28.12.2025,
29.12.2025,5.0920
30.12.2025,5.0963
31.12.2025,5.0985
01.01.2026,
02.01.2026,
03.01.2026,
04.01.2026,
05.01.2026,5.0905
06.01.2026,
07.01.2026,
08.01.2026,5.0871
09.01.2026,5.0887
10.01.2026,
11.01.2026,
12.01.2026,5.0896
13.01.2026,5.0896
14.01.2026,5.0897
15.01.2026,5.0891
16.01.2026,5.0894
17.01.2026,
18.01.2026,
19.01.2026,5.0921
20.01.2026,5.0929
21.01.2026,5.0961
22.01.2026,5.0936
23.01.2026,5.0943
24.01.2026,
25.01.2026,
26.01.2026,5.0960
27.01.2026,5.0959
28.01.2026,5.0960
29.01.2026,5.0957
30.01.2026,5.0961
31.01.2026,
01.02.2026,
02.02.2026,5.0959
03.02.2026,5.0950
04.02.2026,5.0943
05.02.2026,5.0945
06.02.2026,5.0923
07.02.2026,
08.02.2026,
09.02.2026,5.0934
10.02.2026,5.0910
11.02.2026,5.0914
12.02.2026,5.0934
13.02.2026,5.0943
14.02.2026,
15.02.2026,
16.02.2026,5.0953
17.02.2026,5.0965
18.02.2026,5.0941
19.02.2026,5.0956
20.02.2026,5.0974
21.02.2026,
22.02.2026,
23.02.2026,5.0968
24.02.2026,5.0954
25.02.2026,5.0953
26.02.2026,5.0955
27.02.2026,5.0953
28.02.2026,
01.03.2026,
02.03.2026,5.0972
03.03.2026,5.0981
04.03.2026,5.0959
05.03.2026,5.0937
06.03.2026,5.0941
07.03.2026,
08.03.2026,
09.03.2026,5.0979
10.03.2026,5.0955
11.03.2026,5.0937
12.03.2026,5.0938
13.03.2026,5.0947
14.03.2026,
15.03.2026,
16.03.2026,5.0949
17.03.2026,5.0937
18.03.2026,5.0940
19.03.2026,5.0959
20.03.2026,5.0951
21.03.2026,
22.03.2026,
23.03.2026,5.0989
24.03.2026,5.0962
25.03.2026,5.0952
26.03.2026,5.0953
27.03.2026,5.0991
28.03.2026,
29.03.2026,
30.03.2026,5.0989
31.03.2026,5.0988
01.04.2026,5.0985
02.04.2026,5.0986
03.04.2026,5.0978
04.04.2026,
05.04.2026,
06.04.2026,5.0961
07.04.2026,5.0963
08.04.2026,5.0949
09.04.2026,5.0937
10.04.2026,
11.04.2026,
12.04.2026,
13.04.2026,
14.04.2026,5.0920
15.04.2026,5.0914
16.04.2026,5.0918
17.04.2026,5.0987
18.04.2026,
19.04.2026,
20.04.2026,5.0989
21.04.2026,5.0988
